Date,SPY,FEZ,EWJ,EEM,IEF,TLT,TIP,GLD,DBC,DBA,IYR
2008-05-11,0.08529493555425653,0.05863049140213567,0.014636857711224034,0.037830632921654915,0.2662115221155354,0.059446449388843775,0.2568626297527262,0.0821710557993494,0.08034564218923962,0.05229869523138516,0.006271087933649281
2008-05-18,0.085757158341719,0.05929872407208332,0.014580729209348576,0.038166731752957976,0.2663301477187324,0.05969037412803618,0.25668217243365543,0.08129706956774314,0.07884957726111096,0.05304020085035957,0.006307114664253386
2008-05-25,0.08419423887446177,0.058534724434025805,0.014674585151080713,0.03755975135415534,0.26970498910650476,0.060687880847849374,0.25730774652120025,0.08185629660151363,0.07494674359778775,0.05414236911866955,0.006390674392751041
2008-06-01,0.08239698655545744,0.05769841205172364,0.014180932218075861,0.03646168152556108,0.2694718626717069,0.060375498874116834,0.26058677067962516,0.08249962863440745,0.07513688223848845,0.05479911658740344,0.006392227963433707
2008-06-08,0.08215151955208944,0.058884732273805834,0.014316518290330264,0.03650479144861639,0.27042724955536307,0.06118172673380815,0.25813089536364947,0.08219698621454712,0.07436792963568074,0.05543185287878024,0.006405798053329304
2008-06-15,0.08206033349489368,0.059344678133304414,0.015260281743477353,0.03691800104694227,0.2718396926663244,0.06369219725551897,0.25558483821300765,0.08061024646096732,0.07285650185578672,0.05491451986946659,0.0069187092603105755
2008-06-22,0.08385560966599293,0.0604867700766502,0.015136610636402375,0.03764035482652013,0.2658108827772494,0.06508335024738388,0.2531989479659727,0.08446303926797653,0.07421678824217184,0.053166280021003105,0.006941366272676766
2008-06-29,0.08469072367291686,0.06086454238277575,0.01634209698728077,0.03840501969967854,0.25697336535630416,0.06837067662167068,0.25472238824478044,0.08281330207441434,0.0766153004453977,0.052579332052225126,0.0076232524625554805
2008-07-06,0.08375612628168436,0.06085223452775557,0.01659211744189331,0.038283263441511346,0.2566060438647131,0.06919062749590425,0.25292390974722795,0.08179401529624766,0.0779544681882263,0.05421351492828204,0.007833678786554065
2008-07-13,0.0842303424659667,0.06222717390275512,0.01688148505273151,0.03897954550680986,0.2581188012243922,0.06892426242861945,0.24694944973655047,0.08238624178651688,0.07913596981430268,0.05432643932170629,0.007840288759648914
2008-07-20,0.08455878888189632,0.06267092188205715,0.016480883321080574,0.039250715316474484,0.26045364391271675,0.06886825010153368,0.24509650812226416,0.08225955201358273,0.07884346390617958,0.0537853037465741,0.007731968795640495
2008-07-27,0.08652590872795829,0.06406564858973408,0.016539938391115252,0.040886562996124295,0.2626942476443102,0.06949729321613257,0.24420942881272162,0.08231354931351956,0.074301244074419,0.05118536162938817,0.00778081660457698
2008-08-03,0.09162286982128845,0.06752815962853814,0.016859170878911787,0.042865355669999265,0.2631221542470673,0.06978083310079339,0.24123625100415896,0.08348233113489245,0.06586502706870849,0.049666550837127774,0.007971296608514124
2008-08-10,0.09231626983977405,0.0683828150537452,0.017995207281241273,0.04250667414058812,0.26967935973132706,0.07324733191277545,0.23718992855965298,0.0806469459767935,0.0613338428709087,0.04758333059382573,0.009118294039368001
2008-08-17,0.09268987277227896,0.06875669845104225,0.01829142116779023,0.04307923718521789,0.27322013780673604,0.07444687563766478,0.24028595604882697,0.07695192669514506,0.05806553259906591,0.044873180482613316,0.00933916115361859
2008-08-24,0.0926701234686383,0.06944298151046276,0.017698175655075463,0.04332311465800129,0.2765379427106289,0.07489484821016389,0.24410271258322244,0.07249289801536418,0.05618485345910465,0.0435722570947486,0.009080092634589403
2008-08-31,0.09544460330562464,0.06951811924693219,0.017655573405562508,0.04562283615475987,0.2767362906089019,0.07447310359140157,0.24417761546933328,0.06650056063013991,0.05713118580105907,0.04365463107990751,0.00908548070637727
2008-09-07,0.09629859685798409,0.07026496827943159,0.017789943684878254,0.04812059587286694,0.2773121952232158,0.07489465213846953,0.2445583812264703,0.0646813119998287,0.055849802577327995,0.0412481445534568,0.008981407586069927
2008-09-14,0.09162482994828182,0.06568775138597596,0.018053421607905615,0.04617349911462835,0.28723946014792356,0.07642399157458868,0.252300994387788,0.06275057425594115,0.05235366746198526,0.03824661236700352,0.009145197747978017
2008-09-21,0.09243064198971093,0.06320947667502644,0.01786702552549618,0.04488083758317461,0.2888404080130474,0.07610076194256664,0.2563582238310663,0.06326153594371414,0.05059674787596816,0.03722397447019868,0.0092303661500306
2008-09-28,0.09497063375106511,0.0652561685912039,0.017478172767173093,0.04611409705914831,0.2888609884281621,0.07522635648618414,0.2528119252588419,0.059708262105397175,0.05159199834180084,0.03890371827694131,0.009077678934082123
2008-10-05,0.09559514877942289,0.06706364648686741,0.017166400399093246,0.04562483602232328,0.29468820629102865,0.07654641913528687,0.24867888365640267,0.05046703514245736,0.05442926870390395,0.04087017786539036,0.008869977517823225
2008-10-12,0.08314345531952752,0.05857803647300841,0.016857354925730827,0.040235546486688235,0.3191323464416211,0.07954267781622941,0.26247111426121267,0.04818822371416656,0.047312039624956864,0.0362373097993346,0.008301895137523673
2008-10-19,0.06910845320508777,0.049171967802754506,0.013344345755540565,0.04068921911668162,0.33673164892267576,0.07735116479357394,0.2574066868856533,0.060390661649573185,0.04901011671564523,0.03927975714326326,0.007515978009550639
2008-10-26,0.06044893235798213,0.045565836743815286,0.011305929526288496,0.041440352132734705,0.3709463047277076,0.0845398317505752,0.20904141829408704,0.07094618015731238,0.053738644577463454,0.04359143267178174,0.00843513706025194
