Date,HRP_Return
2008-05-18,0.005405804747940834
2008-05-25,0.004172525003535377
2008-06-01,-0.00875183701993787
2008-06-08,-0.0021869284433566616
2008-06-15,-0.013069945474186273
2008-06-22,-0.011097590637281107
2008-06-29,0.002889251586879693
2008-07-06,0.0048503319893036245
2008-07-13,0.0009085013416820775
2008-07-20,-0.012710882713017457
2008-07-27,-0.023890043501544778
2008-08-03,-0.019426481977990573
2008-08-10,-0.030756043846838166
2008-08-17,-0.03595957735369304
2008-08-24,-0.028607479294032512
2008-08-31,-0.027934490831926118
2008-09-07,-0.04422581956864957
2008-09-14,-0.04903338368932608
2008-09-21,-0.0415375550881486
2008-09-28,-0.05161128773062207
2008-10-05,-0.08226465735633426
2008-10-12,-0.1571585070028031
2008-10-19,-0.1543442678846536
2008-10-26,-0.17680633738478457
2008-11-02,-0.1622906228773351
2008-11-09,-0.1572554225796563
2008-11-16,-0.16087603942110396
2008-11-23,-0.16189854352715893
2008-11-30,-0.1364110269002866
2008-12-07,-0.13929399755704752
2008-12-14,-0.11161401888605815
2008-12-21,-0.09009058329129804
2008-12-28,-0.08497736145637147
2009-01-04,-0.08560227581589974
2009-01-11,-0.09099466651346833
2009-01-18,-0.10204561901974907
2009-01-25,-0.1122146633019876
2009-02-01,-0.11720712462257377
2009-02-08,-0.11369741100048625
2009-02-15,-0.11671223935148523
2009-02-22,-0.1236997448599938
2009-03-01,-0.14210585098807493
2009-03-08,-0.1437491126847099
2009-03-15,-0.12986949074611853
2009-03-22,-0.10227174301134556
2009-03-29,-0.10129546797168743
2009-04-05,-0.10033103195466464
2009-04-12,-0.10133936725992476
2009-04-19,-0.10553584537815508
2009-04-26,-0.10024285683047429
2009-05-03,-0.10451032452561637
2009-05-10,-0.08932281135144504
2009-05-17,-0.08853440626728415
2009-05-24,-0.08456524361893214
2009-05-31,-0.0733797512376475
2009-06-07,-0.08745570726134944
2009-06-14,-0.08694583119461563
2009-06-21,-0.09558727861298077
2009-06-28,-0.0868618631251904
2009-07-05,-0.09285558857651488
2009-07-12,-0.09804138761600545
2009-07-19,-0.09366927420426452
2009-07-26,-0.08308467318851309
2009-08-02,-0.07067761080281254
2009-08-09,-0.07823651416341348
2009-08-16,-0.07219844577495516
2009-08-23,-0.06695526786835237
2009-08-30,-0.059957182465012804
2009-09-06,-0.06384787080770038
2009-09-13,-0.050991279169386616
2009-09-20,-0.050631751298434224
2009-09-27,-0.052407082505431024
2009-10-04,-0.047972026033454185
2009-10-11,-0.03768553284119369
2009-10-18,-0.027046529036382938
2009-10-25,-0.026208119898897708
2009-11-01,-0.036033604707163436
2009-11-08,-0.024669936309159368
2009-11-15,-0.014748677742453697
2009-11-22,-0.005097285012269359
2009-11-29,0.0039528374406012645
2009-12-06,-0.0020766001879879425
2009-12-13,-0.013581006793026207
2009-12-20,-0.013125484560547518
2009-12-27,-0.01736406836298021
2010-01-03,-0.017426934669253602
2010-01-10,-0.0012002825542797302
2010-01-17,-0.0055569217476029165
2010-01-24,-0.017866939237414226
2010-01-31,-0.028298116021801767
2010-02-07,-0.035362059907332544
2010-02-14,-0.030948667087196124
2010-02-21,-0.021822718014928078
2010-02-28,-0.021569068240712364
2010-03-07,-0.015310435220548868
2010-03-14,-0.018861474663564803
2010-03-21,-0.017551046991296504
2010-03-28,-0.02523470118990223
2010-04-04,-0.014040439728555731
2010-04-11,-0.0066917196287582525
2010-04-18,-0.00585807700136276
2010-04-25,-0.0015024489633578275
2010-05-02,0.005080115482355874
2010-05-09,-0.005600888362407019
2010-05-16,0.0002054915141458391
2010-05-23,-0.009937838549497147
2010-05-30,-0.007430164790020011
2010-06-06,-0.010836878739715727
2010-06-13,-0.003112224187011403
2010-06-20,0.009221714136039338
2010-06-27,0.01001336510254669
2010-07-04,-0.002765973939892419
2010-07-11,0.006031062353376582
2010-07-18,0.006980396225237939
2010-07-25,0.010832080110235287
2010-08-01,0.01954345903461574
2010-08-08,0.02945343664068134
2010-08-15,0.027746559203195797
2010-08-22,0.03066510036777359
2010-08-29,0.03174108087772187
2010-09-05,0.0383482104698718
2010-09-12,0.038084123343053555
2010-09-19,0.044898337425061996
2010-09-26,0.058865660283097254
2010-10-03,0.06277163474587377
2010-10-10,0.0880307344918656
2010-10-17,0.08460268126595283
2010-10-24,0.08598818665593333
2010-10-31,0.08755530176140569
2010-11-07,0.10031822382228928
2010-11-14,0.07801268827868091
2010-11-21,0.07249779949808
2010-11-28,0.07231440553545965
2010-12-05,0.07969179426786277
2010-12-12,0.06077275369523272
2010-12-19,0.06821189647105008
2010-12-26,0.07045306896774362
2011-01-02,0.08217205657243509
2011-01-09,0.07527753960423933
2011-01-16,0.08167872501173434
2011-01-23,0.07612358565192756
2011-01-30,0.07970657680291104
2011-02-06,0.0726136035912146
2011-02-13,0.07326888766945605
2011-02-20,0.08300601315769685
2011-02-27,0.09649393466475131
2011-03-06,0.10109247571343616
2011-03-13,0.09680920246600255
2011-03-20,0.10107563282000864
2011-03-27,0.09747672800022222
2011-04-03,0.10371509000453183
2011-04-10,0.10380666920870651
2011-04-17,0.1134398122504161
2011-04-24,0.11884728923952403
2011-05-01,0.1332566284868375
2011-05-08,0.1217636353481617
2011-05-15,0.11801585157872463
2011-05-22,0.11947250704897061
2011-05-29,0.13055767324779977
2011-06-05,0.13301266206514195
2011-06-12,0.12896649487930079
2011-06-19,0.12784004271685356
2011-06-26,0.12859694835860314
2011-07-03,0.12884944442900625
2011-07-10,0.14325469195572316
2011-07-17,0.14990880211870294
2011-07-24,0.15625852167681664
